,store_location,cinemarks_county,cinemarks_state
216,"9900 S I H 35, Austin, TX 78748",travis county,Texas
217,"3855 Interstate 10 South, Beaumont, TX 77705",jefferson county,Texas
218,"Bee Cave, TX 78738",travis county,Texas
219,"1801 East FM 700, Big Spring, TX 79720",howard county,Texas
220,"3471 Old Hwy 77, Brownsville, TX 78520",cameron county,Texas
221,"2370 H, YW 77/83 NorthBrownsville, TX 78521",cameron county,Texas
222,"280 Uptown Blvd., Cedar Hill, TX 75104",dallas county,Texas
223,"1335 E. Whitestone Blvd., Cedar Park, TX 78613",williamson county,Texas
224,"1643 W. Henderson St., Cleburne, TX 76031",johnson county,Texas
225,"1401 Earl Rudder Frwy South, College Station, TX 77845",brazos county,Texas
226,"25720 Northwest Fwy., Cypress, TX 77429",harris county,Texas
227,"29030 Northwest Freeway, Cypress, TX 77433",harris county,Texas
228,"11819 Webb Chapel, Dallas, TX 75234",dallas county,Texas
229,"2205 Ave F, Del Rio, TX 78840",val verde county,Texas
230,"2825 Wind River Lane, Denton, TX 76210",denton county,Texas
231,"455 S. Bibb Street, Eagle Pass, TX 78852",maverick county,Texas
232,"2001 W Trenton, Edinburg, TX 78539",hidalgo county,Texas
233,"11855 Gateway West, El Paso, TX 79936",el paso county,Texas
234,"7440 Remcon Circle, El Paso, TX 79912",el paso county,Texas
235,"12704 East Montana, El Paso, TX 79938",el paso county,Texas
236,"8401 Gateway West Blvd, El Paso, TX 79925",el paso county,Texas
237,"2300 Green Oaks Road, Fort Worth, TX 76116",tarrant county,Texas
238,"9228 Sage Meadow Trail, Fort Worth, TX 76177",tarrant county,Texas
239,"5655 Frisco Square Blvd, Frisco, TX 75034",collin county,Texas
240,"6969 US Highway 380, Frisco, TX 75033",polk county,Texas
241,"4040 South Shiloh Road, Garland, TX 75041",dallas county,Texas
242,"220 W Westchester Pkwy, Grand Prairie, TX 75052",dallas county,Texas
243,"911 State Hwy 114 West, Grapevine, TX 76051",tarrant county,Texas
244,"201 E. Central Texas Expressway, Harker Heights, TX 76548",bell county,Texas
245,"601 S. Expressway 83, Harlingen, TX 78550",cameron county,Texas
246,"Memorial City Mall, Houston, TX 77024",harris county,Texas
247,"12920 Northwest Freeway, Houston, TX 77040",harris county,Texas
248,"1101 Melbourne Road, Hurst, TX 76053",tarrant county,Texas
249,"11450 East Freeway, Jacinto City, TX 77029",harris county,Texas
250,"1030 West Grand Pkwy North, Katy, TX 77449",fort bend county,Texas
251,"3250 West Pleasant Run Rd., Lancaster, TX 75146",dallas county,Texas
252,"5300 San Dario, Laredo, TX 78041",webb county,Texas
253,"2401 S. Stemmons Freeway, Lewisville, TX 75067",denton county,Texas
254,"5721 58th Street, Lubbock, TX 79424",lubbock county,Texas
255,"2535 82nd St., Lubbock, TX 79423",lubbock county,Texas
256,"3909 S. Medford Dr., Lufkin, TX 75901",angelina county,Texas
257,"2041 North Hwy. 287, Mansfield, TX 76063",ellis county,Texas
258,"100 W. Nolana Loop, McAllen, TX 78504",hidalgo county,Texas
259,"1800 S. 16th Street, McAllen, TX 78501",hidalgo county,Texas
260,"1701 S. Central Expressway, McKinney, TX 75069",collin county,Texas
261,"1701 North Hardin Blvd., McKinney, TX 75071",collin county,Texas
262,"2422 East Expressway 83, Mission, TX 78572",hidalgo county,Texas
263,"21750 Valley Ranch Parkway New Caney, TX 77357",montgomery county,Texas
264,"4221 Preston Smith Rd, Odessa, TX 79762",ector county,Texas
265,"1225 Ne Loop 286, Paris, TX 75460",lamar county,Texas
266,"2101 E.beltway 8, Pasadena, TX 77503",harris county,Texas
267,"Hwy. 288 and Hwy. 518, Pearland, TX 77581",polk county,Texas
268,"18820 Hilltop Commercial Dr., Pflugerville, TX 78660",travis county,Texas
269,"15436 FM 1825, Pflugerville, TX 78660",travis county,Texas
270,"600 N Jackson Road, Pharr, TX 78577",hidalgo county,Texas
271,"1001 I-27 N Hwy 70, Plainview, TX 79072",union county,Texas
272,"1818 Coit Road, Plano, TX 75075",collin county,Texas
273,"3800 Dallas Parkway, Plano, TX 75093",collin county,Texas
274,"7201 N. Central Expressway, Plano, TX 75025",collin county,Texas
275,"850 E. H, WY 114Roanoke, TX 76262",tarrant county,Texas
276,"2125 Summer Lee, Rockwall, TX 75032",rockwall county,Texas
277,"3420 Vista Drive, Rosenberg, TX 77471",fort bend county,Texas
278,"2132 N Mays Street, Round Rock, TX 78664",williamson county,Texas
