,store_location,nordstroms_county,nordstroms_state
281,"555 12th Street Northwest, Washington D.C. 20004",district of columbia county,District of Columbia
282,"8031 McKnight Road Pittsburgh, PA 15237",allegheny county,Pennsylvania
283,"4588 Virginia Beach Boulevard Virginia Beach, VA 23462",city of virginia beach county,Virginia
284,"1450 Ala Moana Boulevard, Honolulu, HI 96814",honolulu county,Hawaii
285,"4572 Poplar Avenue, Memphis, TN 38117",shelby county,Tennessee
286,"3241 Preston Road, Frisco, TX 75034",collin county,Texas
287,"1110 Bowman Road Mt. Pleasant, SC 29464",charleston county,South Carolina
288,"1540 N Federal Highway Ft. Lauderdale, FL 33304",broward county,Florida
289,"19075 Interstate 45 South, Shenandoah, TX 77385",hunt county,Texas
290,"1090 N Orlando Avenue, Winter Park, FL 32609",orange county,Florida
291,"5001 Highway 183A Toll Road, Cedar Park, TX 78613",williamson county,Texas
292,"500 Port of New Orleans Place, New Orleans, LA 70130",orleans parish,Louisiana
293,"111 Meadow Farm Road, Lafayette, LA 70508",lafayette parish,Louisiana
294,"13900 Dallas Parkway, Dallas, TX 75240",dallas county,Texas
295,"5220 Alpha Road Dallas, TX 75240",dallas county,Texas
296,"1211 W Bay Area Boulevard Webster, TX 77598",harris county,Texas
297,"8687 N Central Expressway Dallas, TX 75225",dallas county,Texas
298,"2613 Preston Road Frisco, TX 75034",collin county,Texas
299,"1701 D-1 Preston Road Plano, TX 75093",collin county,Texas
300,"5192 Hidalgo Street Houston, TX 77056",harris county,Texas
301,"2901 S Capital of Texas Hwy Austin, TX 78746",travis county,Texas
302,"15900 La Cantera Parkway San Antonio, TX 78256",bexar county,Texas
303,"3111 Palm Way Austin, TX 78758",travis county,Texas
304,"5823 Worth Parkway San Antonio, TX 78257",bexar county,Texas
305,"1445 E Southlake Boulevard Southlake, TX 76092",tarrant county,Texas
306,"9607 Research Boulevard, Austin, TX 78759",travis county,Texas
307,"8050 Park Lane Dallas, TX 75231",dallas county,Texas
308,"3865 S Cooper Street, Arlington, TX 76015",tarrant county,Texas
309,"5601 Brodie Lane, Sunset Valley, TX 78745",travis county,Texas
310,"5000 Westhiemer Road, Houston, TX 77056",harris county,Texas
311,"20669 Biscaybe Boulevard Miami, FL 33180",miamidade county,Florida
312,"2665 Town Center Boulevard North Sugarland, TX 77479",fort bend county,Texas
313,"255 E Basse Road San Antonio, TX 78209",bexar county,Texas
314,"1201 Lake Woodlands Drive Woodlands, TX 77380",montgomery county,Texas
315,"8000 Willowbrook Mall Houston, TX 77070",harris county,Texas
316,"9714 Katy Freeway Houston, TX 77055",harris county,Texas
317,"8722 E 71st Street Tulsa, OK 74133",tulsa county,Oklahoma
318,"4400 Sharon Road Charlotte, NC 28211",mecklenburg county,North Carolina
319,"6910 Fayetteville Road, Durham, NC 27713",durham county,North Carolina
320,"6807 Fayetteville Road, Durham, NC 27713",durham county,North Carolina
321,"1400 Glades Road Boca Raton, FL 33431",palm beach county,Florida
322,"4924 Big Island Drive Jacksonville, FL 32246",duval county,Florida
323,"9100 Strada Place Naples, FL 34108",collier county,Florida
324,"330 Franklin Road Brentwood, TN 37027",davidson county,Tennessee
325,"2130 Abbott Martin Road Nashville, TN 37215",davidson county,Tennessee
326,"4390 Ashford Dunwoody Road Northeast Atlanta, GA 30346",fulton county,Georgia
327,"5820 Glades Road Boca Raton, FL 33431",palm beach county,Florida
328,"4310 Ponce de Leon Boulevard Coral Gables, FL 33146",miamidade county,Florida
329,"3205 Woodward Crossing Boulevard Buford, GA 30519",gwinnett county,Georgia
330,"2223 N Westshore Boulevard Tampa, FL 33607",hillsborough county,Florida
331,"1919 E Camelback Road Phoenix, AZ 85016",maricopa county,Arizona
332,"2604 Sawgrass Mills Circle Sunrise, FL 33323",broward county,Florida
333,"3500 Peachtree Road Northeast Atlanta, GA 30326",fulton county,Georgia
334,"3111 PGA Boulevard Palm Beach Gardens, 33410",palm beach county,Georgia
335,"19507 Biscayne Boulevard Aventura, FL 33180",miamidade county,Florida
336,"3301 Coral Way Miami, FL 33145",miamidade county,Florida
337,"4036 Eastgate Drive Orlando, FL 32839",orange county,Florida
338,"8525 Mills Drive Kendall, FL 33183",miamidade county,Florida
339,"1702 N Dale Mabry Highway Tampa, FL 33607",hillsborough county,Florida
340,"3495 Buckhead Loop Northeast Atlanta, GA 30326",fulton county,Georgia
341,"6200 N Point Parkway Alpharetta, GA 30022",fulton county,Georgia
342,"1865 Palm Beach Lakes Boulevard West Palm Beach, FL 33401",palm beach county,Florida
343,"1741 Belle Isle Boulevard Oklahoma City, OK 73118",oklahoma county,Oklahoma
344,"8551 Cooper Creek Boulevard University Park, FL 34201",orange county,Florida
345,"4612 Highway 280, Building B Birmingham, AL 35242",jefferson county,Alabama
346,"1201 Hammond Drive Northeast Dunwoody, GA 30346",dekalb county,Georgia
347,"4835 Town Crossing Drive Jacksonville, FL 32246",duval county,Florida
348,"278 Harbison Boulevard Columbia, SC 29212",lexington county,South Carolina
349,"1025 Woodruff Road Greenville, SC 29607",greenville county,South Carolina
350,"2435 State Road 580 Clearwater, FL 33761",pinellas county,Florida
351,"11201 Causeway Boulevard Brandon, FL 33511",hillsborough county,Florida
352,"3201 N Miami Avenue Miami, FL 33127",miamidade county,Florida
353,"9330 Mall of Louisiana Boulevard Baton Rouge, LA 70836",east baton rouge parish,Louisiana
354,"8680 Hayden Place Culver City, CA 90232",los angeles county,California
355,"5703 N Marine Drive Portland, OR 97203",multnomah county,Oregon
356,"5050 Chavenelle Drive Dubuque, IA 52002",dubuque county,Iowa
357,"1600 S Milliken Avenue Ontario, CA 91761",san bernardino county,California
358,"37599 Filbert Street Newark, CA 94560",alameda county,California
359,"7373 West Side Avenue North Bergen, NJ 07047",hudson county,New Jersey
360,"30 Distribution Drive Elizabethtown, PA 17022",lancaster county,Pennsylvania
361,"7700 18th Street SW Cedar Rapids, IA 52404",linn county,Iowa
362,"16012 Arthur Street Cerritos, CA 90703",los angeles county,California
363,"30 Distribution Drive Elizabethtown, PA 17022",lancaster county,Pennsylvania
364,"7300 West Side Avenue North Bergen, NJ 07047",hudson county,New Jersey
365,"7700 18th Street SW Cedar Rapids, IA 52404",linn county,Iowa
366,"839 Commerce Drive Upper Marlboro, MD20774",prince georges county,Maryland
367,"5497 NE 49th Terrace Gainesville, FL 32609",alachua county,Florida
368,"17335 Glen Helen Parkway San Bernardino, CA 92407",san bernardino county,California
